,title,release_date,genre,run_time,certification,user_score,original_language,movie_budget,movie_revenue,keywords,actors,director_list
0,The Dressmaker,10/01/2015 ,"['Drama', 'Comedy']",1h 58m,M,69,English,11930000,18340000,"['based on novel or book', 'small town', 'exile', 'australia', 'dressmaker', 'mystery', 'hometown', 'woman director', 'accused of murder', '1950s', 'town gossip']","['Kate Winslet', 'Liam Hemsworth', 'Caroline Goodall', 'Judy Davis', 'Hayley Magnus', 'Hugo Weaving', 'Sarah Snook', 'Kerry Fox']",['Jocelyn Moorhouse']
0,Clerks II,07/21/2006 ,['Comedy'],1h 37m,R,69,English,5000000,26888376,"['independent film', 'aftercreditsstinger', 'duringcreditsstinger']","[""Brian O'Halloran"", 'Jeff Anderson', 'Jason Mewes', 'Kevin Smith', 'Rosario Dawson', 'Jennifer Schwalbach Smith', 'Ben Affleck', 'Trevor Fehrman']",['Kevin Smith']
0,Ready or Not,08/21/2019 ,"['Horror', 'Thriller', 'Mystery', 'Comedy']",1h 35m,R,69,English,6000000,57615777,"['ritual', 'marriage', 'games', 'murder', 'gore', 'wealth', 'escape', 'wedding', 'wedding dress', 'satanic', 'deal with the devil']","['Samara Weaving', 'Adam Brody', ""Mark O'Brien"", 'Henry Czerny', 'Andie MacDowell', 'Melanie Scrofano', 'Kristian Bruun', 'Elyse Levesque']","['Tyler Gillett', 'Matt Bettinelli-Olpin']"
0,Tracks,09/19/2014 ,"['Adventure', 'Drama']",1h 52m,PG-13,69,English,,4878242,"['camel', 'biography', 'australia', 'based on a true story', 'desert', 'outback', 'journey', 'inspiring']","['Mia Wasikowska', 'Adam Driver', 'Emma Booth', 'Jessica Tovey', 'Lily Pearl', 'Robert Coleby', 'Bryan Probets', 'John Flaus']",['John Curran']
0,Futurama: Bender's Game,11/03/2008 ,"['Animation', 'Comedy', 'Science Fiction']",1h 28m,NR,69,English,,,"['based on tv series', 'dungeons and dragons']","['Billy West', 'Katey Sagal', 'John DiMaggio', 'Phil LaMarr', 'Lauren Tom', 'Tress MacNeille']",['Dwayne Carey-Hill']
0,Dawn of the Dead,03/19/2004 ,"['Fantasy', 'Horror', 'Action', 'Drama']",1h 41m,R,69,English,28000000,102356381,"['refugee', 'mass murder', 'habor', 'car journey', 'department store', 'blackout', 'bus ride', 'pregnancy', 'dying and death', 'bite', 'to shoot dead', 'lorry', 'munition', 'basement garage', 'guard', 'zombie', 'dog', 'car', 'duringcreditsstinger']","['Sarah Polley', 'Ving Rhames', 'Jake Weber', 'Mekhi Phifer', 'Ty Burrell', 'Matt Frewer', 'Michael Kelly', 'Kevin Zegers']",['Zack Snyder']
0,The Man Who Killed Don Quixote,05/19/2018 ,"['Comedy', 'Fantasy', 'Adventure']",2h 13m,NR,69,English,19116000,,['based on novel or book'],"['Adam Driver', 'Jonathan Pryce', 'Stellan Skarsgård', 'Jordi Mollà', 'Joana Ribeiro', 'Óscar Jaenada', 'Olga Kurylenko', 'Rossy de Palma']",['Terry Gilliam']
0,Secret of the Wings,08/17/2012 ,"['Animation', 'Family', 'Fantasy', 'Adventure']",1h 32m,G,69,English,,,"['winter', 'fairy', 'fairy tale', 'cold', 'separation', 'duringcreditsstinger', 'woman director', '3d']","['Mae Whitman', 'Lucy Hale', 'Timothy Dalton', 'Jeff Bennett', 'Lucy Liu', 'Raven-Symoné', 'Megan Hilty', 'Pamela Adlon']","['Peggy Holmes', 'Roberts Gannaway']"
0,Pinocchio,12/19/2019 ,"['Fantasy', 'Family', 'Adventure', 'Drama']",2h 5m,U,69,Italian,11500,,"['based on novel or book', ""based on children's book""]","['Federico Ielapi', 'Roberto Benigni', 'Marine Vacth', 'Gigi Proietti', 'Massimo Ceccherini', 'Rocco Papaleo', 'Alessio Di Domenicantonio', 'Marcello Fonte']",['Matteo Garrone']
0,The Adventures of Baron Munchausen,03/10/1989 ,"['Action', 'Adventure', 'Comedy', 'Fantasy', 'Family']",2h 6m,PG,69,English,46630000,8083123,"['moon', 'monster', 'surreal', 'hot air balloon', 'war', 'satire', 'baron', 'cult film', 'story telling', 'european', 'roman mythology']","['John Neville', 'Eric Idle', 'Sarah Polley', 'Oliver Reed', 'Charles McKeown', 'Winston Dennis', 'Jack Purvis', 'Valentina Cortese']",['Terry Gilliam']
